Testing...
Iteration 1: c = (, s = eetrs, state = 0
Iteration 2: c = a, s = teers, state = 0
Iteration 3: c = }, s = tseer, state = 0
Iteration 4: c = a, s = rtese, state = 0
Iteration 5: c = }, s = teser, state = 0
Iteration 6: c = ), s = sreet, state = 0
Iteration 7: c = [, s = serte, state = 0
Iteration 8: c = [, s = esetr, state = 1
Iteration 9: c = }, s = srtee, state = 1
Iteration 10: c =  , s = etsre, state = 1
Iteration 11: c = [, s = reset, state = 1
Iteration 12: c = {, s = esetr, state = 1
Iteration 13: c = {, s = stere, state = 1
Iteration 14: c = [, s = tsere, state = 1
Iteration 15: c = ), s = srtee, state = 1
Iteration 16: c = x, s = rtsee, state = 1
Iteration 17: c =  , s = esetr, state = 1
Iteration 18: c = [, s = rsete, state = 1
Iteration 19: c = a, s = stere, state = 1
Iteration 20: c =  , s = erets, state = 1
Iteration 21: c = a, s = setre, state = 1
Iteration 22: c = a, s = rstee, state = 1
Iteration 23: c =  , s = teesr, state = 1
Iteration 24: c = a, s = etsre, state = 1
Iteration 25: c = [, s = trsee, state = 1
Iteration 26: c = a, s = steer, state = 1
Iteration 27: c = ], s = srete, state = 1
Iteration 28: c = [, s = tsere, state = 1
Iteration 29: c = ), s = retes, state = 1
Iteration 30: c = }, s = retse, state = 1
Iteration 31: c = {, s = teers, state = 1
Iteration 32: c = x, s = rsete, state = 1
Iteration 33: c =  , s = rstee, state = 1
Iteration 34: c =  , s = srete, state = 1
Iteration 35: c = [, s = seetr, state = 1
Iteration 36: c = ), s = esetr, state = 1
Iteration 37: c = ], s = eetrs, state = 1
Iteration 38: c = a, s = srete, state = 1
Iteration 39: c = }, s = srtee, state = 1
Iteration 40: c = [, s = rseet, state = 1
Iteration 41: c = (, s = esrte, state = 1
Iteration 42: c = ], s = setre, state = 2
Iteration 43: c = [, s = etrse, state = 2
Iteration 44: c = a, s = rstee, state = 2
Iteration 45: c = {, s = seret, state = 2
Iteration 46: c = x, s = etser, state = 3
Iteration 47: c = [, s = esetr, state = 3
Iteration 48: c = x, s = reste, state = 3
Iteration 49: c = ), s = ertse, state = 3
Iteration 50: c = ), s = esetr, state = 3
Iteration 51: c = (, s = rtees, state = 3
Iteration 52: c = [, s = rtsee, state = 3
Iteration 53: c = {, s = tsree, state = 3
Iteration 54: c = ), s = esert, state = 3
Iteration 55: c = }, s = eters, state = 3
Iteration 56: c = ], s = esrte, state = 3
Iteration 57: c = (, s = rtese, state = 3
Iteration 58: c = a, s = terse, state = 3
Iteration 59: c = {, s = trese, state = 3
Iteration 60: c = {, s = eetrs, state = 3
Iteration 61: c = ), s = srete, state = 3
Iteration 62: c = {, s = reets, state = 3
Iteration 63: c = x, s = tesre, state = 3
Iteration 64: c = }, s = eetsr, state = 3
Iteration 65: c = x, s = etser, state = 3
Iteration 66: c = x, s = rseet, state = 3
Iteration 67: c = [, s = tesre, state = 3
Iteration 68: c = {, s = etres, state = 3
Iteration 69: c = (, s = erset, state = 3
Iteration 70: c = }, s = seret, state = 3
Iteration 71: c = x, s = setre, state = 3
Iteration 72: c =  , s = etsre, state = 3
Iteration 73: c = a, s = tesre, state = 4
Iteration 74: c = a, s = erets, state = 5
Iteration 75: c = }, s = reset, state = 5
Iteration 76: c = [, s = stere, state = 5
Iteration 77: c = x, s = reest, state = 5
Iteration 78: c = ), s = eetrs, state = 6
Iteration 79: c =  , s = srete, state = 6
Iteration 80: c = }, s = seetr, state = 6
Iteration 81: c = x, s = tsere, state = 7
Iteration 82: c = x, s = ertes, state = 7
Iteration 83: c = }, s = estre, state = 7
Iteration 84: c = (, s = erste, state = 7
Iteration 85: c = x, s = rstee, state = 7
Iteration 86: c = [, s = sreet, state = 7
Iteration 87: c = x, s = rseet, state = 7
Iteration 88: c = [, s = erets, state = 7
Iteration 89: c =  , s = etser, state = 7
Iteration 90: c = (, s = rtees, state = 7
Iteration 91: c = a, s = esert, state = 7
Iteration 92: c = x, s = rstee, state = 7
Iteration 93: c = {, s = estre, state = 7
Iteration 94: c =  , s = ertse, state = 7
Iteration 95: c = (, s = seert, state = 7
Iteration 96: c = {, s = etesr, state = 7
Iteration 97: c = [, s = tsere, state = 7
Iteration 98: c = a, s = srete, state = 7
Iteration 99: c =  , s = srete, state = 7
Iteration 100: c = ], s = erste, state = 7
Iteration 101: c = (, s = terse, state = 7
Iteration 102: c = {, s = rtees, state = 7
Iteration 103: c = (, s = erest, state = 7
Iteration 104: c = (, s = tsree, state = 7
Iteration 105: c = ], s = serte, state = 7
Iteration 106: c = ), s = eerst, state = 7
Iteration 107: c =  , s = steer, state = 8
Iteration 108: c = (, s = reest, state = 8
Iteration 109: c = ), s = eesrt, state = 8
Iteration 110: c =  , s = esert, state = 8
Iteration 111: c = (, s = rtees, state = 8
Iteration 112: c = }, s = tseer, state = 8
Iteration 113: c = [, s = srtee, state = 8
Iteration 114: c =  , s = teers, state = 8
Iteration 115: c = a, s = esrte, state = 8
Iteration 116: c = ], s = etser, state = 8
Iteration 117: c = ), s = eetsr, state = 9
Iteration 118: c = [, s = eetsr, state = 9
Iteration 119: c = x, s = rstee, state = 9
Iteration 120: c = a, s = ertse, state = 9
Iteration 121: c = {, s = estre, state = 9
Iteration 122: c = (, s = ertse, state = 9
Iteration 123: c =  , s = estre, state = 9
Iteration 124: c = }, s = setre, state = 9
Iteration 125: c = a, s = rsete, state = 9
Iteration 126: c = {, s = teesr, state = 9
Iteration 127: c = ], s = eters, state = 9
Iteration 128: c = ), s = esrte, state = 9
Iteration 129: c = x, s = srtee, state = 9
Iteration 130: c = x, s = tesre, state = 9
Iteration 131: c = [, s = eerts, state = 9
Iteration 132: c = ], s = eestr, state = 9
Iteration 133: c =  , s = srtee, state = 9
Iteration 134: c = a, s = reste, state = 9
Iteration 135: c = a, s = retes, state = 9
Iteration 136: c = }, s = eerts, state = 9
Iteration 137: c = {, s = eerts, state = 9
Iteration 138: c = x, s = rtsee, state = 9
Iteration 139: c =  , s = eerst, state = 9
Iteration 140: c = }, s = ertse, state = 9
Iteration 141: c = x, s = esrte, state = 9
Iteration 142: c = ), s = eetrs, state = 9
Iteration 143: c = a, s = esrte, state = 9
Iteration 144: c = (, s = serte, state = 9
Iteration 145: c = [, s = trese, state = 9
Iteration 146: c = ], s = eerts, state = 9
Iteration 147: c =  , s = seret, state = 9
Iteration 148: c = }, s = tsree, state = 9
Iteration 149: c = {, s = etrse, state = 9
Iteration 150: c = (, s = erest, state = 9
Iteration 151: c = }, s = retse, state = 9
Iteration 152: c = [, s = esetr, state = 9
Iteration 153: c = x, s = rtees, state = 9
Iteration 154: c = [, s = seert, state = 9
Iteration 155: c =  , s = srtee, state = 9
Iteration 156: c =  , s = ertes, state = 9
Iteration 157: c = ], s = eerst, state = 9
Iteration 158: c = x, s = etser, state = 9
Iteration 159: c = [, s = estre, state = 9
Iteration 160: c =  , s = serte, state = 9
Iteration 161: c = ), s = setre, state = 9
Iteration 162: c = (, s = eerts, state = 9
Iteration 163: c = a, s = reset, state = 9
error 
